time="2017-09-29T07:38:48.146808146Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:48.147643240Z" level=info msg="libcontainerd: new containerd process, pid: 84377"
time="2017-09-29T07:38:48.172452857Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=1048576 
time="2017-09-29T07:38:48.175703433Z" level=debug msg="containerd: read past events" count=501 
time="2017-09-29T07:38:48.175831932Z" level=debug msg="containerd: supervisor running" cpus=2 memory=16028 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:48.175905432Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:48.648825143Z" level=debug msg="libcontainerd: containerd health check returned error: rpc error: code = Unavailable desc = grpc: the connection is unavailable"
time="2017-09-29T07:38:49.149569350Z" level=debug msg="Using default logging driver json-file"
time="2017-09-29T07:38:49.149615450Z" level=debug msg="Golang's threads limit set to 115110"
time="2017-09-29T07:38:49.160241971Z" level=debug msg="backingFs=extfs,  projectQuotaSupported=false"
time="2017-09-29T07:38:49.160263571Z" level=info msg="[graphdriver] using prior storage driver: overlay2"
time="2017-09-29T07:38:49.160281271Z" level=debug msg="Using graph driver overlay2"
time="2017-09-29T07:38:49.172984277Z" level=debug msg="Max Concurrent Downloads: 3"
time="2017-09-29T07:38:49.173000777Z" level=debug msg="Max Concurrent Uploads: 5"
time="2017-09-29T07:38:54.082932960Z" level=info msg="Graph migration to content-addressability took 0.00 seconds"
time="2017-09-29T07:38:54.083159559Z" level=warning msg="Your kernel does not support swap memory limit"
time="2017-09-29T07:38:54.083191658Z" level=warning msg="Your kernel does not support cgroup rt period"
time="2017-09-29T07:38:54.083199858Z" level=warning msg="Your kernel does not support cgroup rt runtime"
time="2017-09-29T07:38:54.083208658Z" level=warning msg="Your kernel does not support cgroup blkio weight"
time="2017-09-29T07:38:54.083215758Z" level=warning msg="Your kernel does not support cgroup blkio weight_device"
time="2017-09-29T07:38:54.083554156Z" level=info msg="Loading containers: start."
time="2017-09-29T07:38:54.085022445Z" level=debug msg="Loaded container 0282bd3752551f35794eeffc182dbf662d0683ba3a32d3cc2ce75f090a52dd9e"
time="2017-09-29T07:38:54.085383342Z" level=debug msg="Loaded container 031f34e29208347c1c1148534d39a89d58bed212d06376870ab16f008bcd75e2"
time="2017-09-29T07:38:54.085742839Z" level=debug msg="Loaded container 03478abe1e814054267d020ec1fffbc14a5a4d16a4b05426ee5386db0fadf1e0"
time="2017-09-29T07:38:54.085999038Z" level=debug msg="Loaded container 037f7cbb99052058f6d393ede8f4e65be94ad56240b88ab170b0b2ec47812222"
time="2017-09-29T07:38:54.086233036Z" level=debug msg="Loaded container 044db95a819966f15d2b31df17078ebb5184e58c7a62b2ebc1e01a37aac04e87"
time="2017-09-29T07:38:54.086526434Z" level=debug msg="Loaded container 05c6f9c40be81276ffea630678015512fa01f32d8e8c3c57cbef26bb67b706c9"
time="2017-09-29T07:38:54.086863531Z" level=debug msg="Loaded container 0a8ac07a12ab38c43978de04deb6f96ba9a889323643ab739c51a5e9e92a58bd"
time="2017-09-29T07:38:54.087130029Z" level=debug msg="Loaded container 0ac5f6ed648a6cb85ca6dccee6455770e4a7814ed79580e727c56bc3cca835d6"
time="2017-09-29T07:38:54.087455027Z" level=debug msg="Loaded container 0b5210a371a76fa3f07945af7b3930cdb2ee095307f0ba682b2a32f82864d392"
time="2017-09-29T07:38:54.087803324Z" level=debug msg="Loaded container 0edbc64fddffcb81078a84d8bb64d5e5cb5595e1f68952fd6bf75b12eb0c8977"
time="2017-09-29T07:38:54.088084922Z" level=debug msg="Loaded container 0f76e65bcb813b43c1d048130c9db11ebbb06984d3f2e7d8aa685d6de777ee4c"
time="2017-09-29T07:38:54.088556619Z" level=debug msg="Loaded container 102346b3ce0c36dccfea013698f26a9f559301de128af89261fb7b775d7cfddb"
time="2017-09-29T07:38:54.088872216Z" level=debug msg="Loaded container 106e21f8d0a3fdc6419410aebf4eb9dc8cca8fbb1aebf895b38e4bf172f4cc1e"
time="2017-09-29T07:38:54.089197214Z" level=debug msg="Loaded container 127bcdf3f81aa4fe3073fc90be3bbfd4f88deb9c510fa637100940e2e4b7f0fb"
time="2017-09-29T07:38:54.089571011Z" level=debug msg="Loaded container 135cb9273b32105e22cec7194bbc15e7c858b579ac079324dcfefbbbfa64d1d5"
time="2017-09-29T07:38:54.089858009Z" level=debug msg="Loaded container 138c3ea7d8ee54e7d1476a016ac627b77fbad9ddf540bb918284e9ed865a3607"
time="2017-09-29T07:38:54.090135707Z" level=debug msg="Loaded container 144bbd993e5a0294932b8adf60e93ba9d2e63077cc73afddb741e2d14e37f828"
time="2017-09-29T07:38:54.090470405Z" level=debug msg="Loaded container 144cf591fc63f7dc162578b88fd9da020a857ba25fe5b8eaba031310d08252e9"
time="2017-09-29T07:38:54.090786202Z" level=debug msg="Loaded container 15fcaa1dd4d2187157bd1e4eaaf458cf03d13461d55cc13ad4af2b7abe12d1cc"
time="2017-09-29T07:38:54.091022401Z" level=debug msg="Loaded container 1763c956cb339d021c4d03ebf126c624b98012f2a699f6665abcc22f18073405"
time="2017-09-29T07:38:54.091284099Z" level=debug msg="Loaded container 18574fced849a53baee517366f1514f66f3a4545b83c6f9bcc6638063eb9b8a7"
time="2017-09-29T07:38:54.091654996Z" level=debug msg="Loaded container 18f8e41109108fb60fee758ac36c1169d93c503faea360c03c24bb23f1706d15"
time="2017-09-29T07:38:54.091951794Z" level=debug msg="Loaded container 192781f80d5608473313798509e4eacbad092b5657ced2e30249cf2f64e8f926"
time="2017-09-29T07:38:54.092167892Z" level=debug msg="Loaded container 1b715866d8f11fcfdd05a02ee56d782e0f5c9296a473baa113c3367e1577d4fb"
time="2017-09-29T07:38:54.092440590Z" level=debug msg="Loaded container 1c1b78d83a14ade95eec82a60f6c90194a12cd6118ecacfde31a2b2ec7983fa9"
time="2017-09-29T07:38:54.092784088Z" level=debug msg="Loaded container 1e638395456e0cd34ec48599aadc6c736091a33198ed951e0cc3a74e25f45553"
time="2017-09-29T07:38:54.093041986Z" level=debug msg="Loaded container 1e7983b5734c3b11b83117c49cd06875edfe85d4b1b98761a32c4ac91e8296d1"
time="2017-09-29T07:38:54.093267684Z" level=debug msg="Loaded container 1f03cfa8d59fcb2fbbcb0ee0d7eafcd9367e2f50df144f7daeae5fc2edd3ca51"
time="2017-09-29T07:38:54.093598082Z" level=debug msg="Loaded container 2195b6827d8f2288f48aab967a96564628ce607b31cd8c602e43de507a48d29c"
time="2017-09-29T07:38:54.093870780Z" level=debug msg="Loaded container 22416fd3d24f8ff8ce7cba83e464915947f110e941aa0f3e59feca7d21436c0e"
time="2017-09-29T07:38:54.094084578Z" level=debug msg="Loaded container 23274c72296146886c2cb108ee9ebdf6b55b129cc572f2b8e771b190c85200fb"
time="2017-09-29T07:38:54.094296576Z" level=debug msg="Loaded container 234cf3451f265be9422c8cf1aaa9d37c14309904900308a218309c537fc5ad6c"
time="2017-09-29T07:38:54.094644174Z" level=debug msg="Loaded container 25074210d64704324a4054fdaa38ac4b39e9c3ecc5e4c5f83620ad932d6c721b"
time="2017-09-29T07:38:54.094937072Z" level=debug msg="Loaded container 2546f1ba7a03f2fadea5d13053a4303c6bc66eb03abefb069554aaa4c49787ba"
time="2017-09-29T07:38:54.095174370Z" level=debug msg="Loaded container 25e810271b071701345da33dd0044c3531bad1cf81aa18fea990eb61494dabd5"
time="2017-09-29T07:38:54.095489068Z" level=debug msg="Loaded container 27bb5ba1dc347ce3eccf3049f0249536a796da5e1482b915c1f6d22635f618f1"
time="2017-09-29T07:38:54.095768066Z" level=debug msg="Loaded container 28658345ca42ddefe85c052ea6d7c396cc1c418b90404238b512c62a5ce9ba0a"
time="2017-09-29T07:38:54.095988364Z" level=debug msg="Loaded container 28aa82d18a64b3bcd60908da0ca87790c4dafbc8c34236726874ccc20b2881ce"
time="2017-09-29T07:38:54.096201262Z" level=debug msg="Loaded container 2b7d5ea9371c02258e48527eda4990a36ebf91909419c608c707dbc84ab35d18"
time="2017-09-29T07:38:54.096482660Z" level=debug msg="Loaded container 2bbbfff9452cc69cc2d108c051bc63d8b05d789820d5b2f0c4824a2f7b9eb851"
time="2017-09-29T07:38:54.096781758Z" level=debug msg="Loaded container 2bda4da9a51c6fb528a792aae7742977d134220e7aac3b1fe6d8760c1d4ce50e"
time="2017-09-29T07:38:54.097024256Z" level=debug msg="Loaded container 2d2ceb8a62e939b4b01d230e13378eb3efa96eb6601a6025b0f3d34c88de6f09"
time="2017-09-29T07:38:54.097233955Z" level=debug msg="Loaded container 2f2affdccaa4cb5f808703980669847be2f4ae6d34d31031ea0d7e98736670d3"
time="2017-09-29T07:38:54.097577052Z" level=debug msg="Loaded container 2f2bd0383daf6615f6e41fd9a2070991443bdbec4707bb5561af3cb8b47a931c"
time="2017-09-29T07:38:54.098598145Z" level=debug msg="Loaded container 3524efaaf4053be859d940c02fdc7252f2ec351321679ea3602f42e33abd26d9"
time="2017-09-29T07:38:54.099285240Z" level=debug msg="Loaded container 35a19218e2973e8dba24f1cd08ae3371b800ccf8cdb8d4fa075b2d27268ac367"
