time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:30.474164736Z" level=debug msg="libcontainerd: containerd health check returned error: rpc error: code = Unavailable desc = grpc: the connection is unavailable"
time="2017-09-29T07:38:30.974095089Z" level=debug msg="libcontainerd: containerd health check returned error: rpc error: code = Unavailable desc = grpc: the connection is unavailable"
time="2017-09-29T07:38:30.975292738Z" level=debug msg="Using default logging driver json-file"
time="2017-09-29T07:38:30.975323058Z" level=debug msg="Golang's threads limit set to 49770"
time="2017-09-29T07:38:30.984887517Z" level=info msg="[graphdriver] using prior storage driver: aufs"
time="2017-09-29T07:38:30.984907402Z" level=debug msg="Using graph driver aufs"
time="2017-09-29T07:38:30.996085528Z" level=debug msg="Max Concurrent Downloads: 3"
time="2017-09-29T07:38:30.996104724Z" level=debug msg="Max Concurrent Uploads: 5"
time="2017-09-29T07:38:31.010385423Z" level=info msg="Graph migration to content-addressability took 0.00 seconds"
time="2017-09-29T07:38:31.010510585Z" level=warning msg="Your kernel does not support swap memory limit"
time="2017-09-29T07:38:31.010537314Z" level=warning msg="Your kernel does not support cgroup rt period"
time="2017-09-29T07:38:31.010544810Z" level=warning msg="Your kernel does not support cgroup rt runtime"
time="2017-09-29T07:38:31.010835081Z" level=info msg="Loading containers: start."
time="2017-09-29T07:38:31.012072897Z" level=debug msg="Loaded container 00a523e41b3a3f28760e794a52315a5223137def34aa233644ae6714661a2049"
time="2017-09-29T07:38:31.012346795Z" level=debug msg="Loaded container 017247eed9b66542f7560c819d0ec149a9225718328debc9e74b9335e72472f0"
time="2017-09-29T07:38:31.012584594Z" level=debug msg="Loaded container 01994dbbe2de17fc4e6f360cace877bbd908ae733bb8b2810b8eae61aa6a16c2"
time="2017-09-29T07:38:31.012864705Z" level=debug msg="Loaded container 036308a0e3ef237bab543aca3cf04c4f3e1f57294159ed88ba88cd507466ae2a"
time="2017-09-29T07:38:31.013144028Z" level=debug msg="Loaded container 046942c5e4f5842de439b07d0b40f848266ecbdfcf11bad98a107fd5f8c68050"
time="2017-09-29T07:38:31.013403229Z" level=debug msg="Loaded container 08f2f492b3e371cc9206f6869377261e5da3bb94933bbedafb571f58929207d8"
time="2017-09-29T07:38:31.013715889Z" level=debug msg="Loaded container 093d51c7cfeeb7b8d41f0a9284440729f074117d5b51097d0120c4efc12742e1"
time="2017-09-29T07:38:31.014038116Z" level=debug msg="Loaded container 0ae37ceadfbe1d00d9b7d1c039ff989d38642adb71dfd1eb75775b81ff19b0e2"
time="2017-09-29T07:38:31.014294457Z" level=debug msg="Loaded container 0beeb80be65eec0de21e5156876add34a1355e378a229101d21724dff2ccc746"
time="2017-09-29T07:38:31.014524957Z" level=debug msg="Loaded container 0c294a18bdafb8198ff157492f26106ddb394205e1e5b4674156fad7c0d2a964"
time="2017-09-29T07:38:31.014794120Z" level=debug msg="Loaded container 0ce3db5316cf10c68fb6af78e58c748f83501a1e8d1e6a62e8f0b4a592e9f757"
time="2017-09-29T07:38:31.015073245Z" level=debug msg="Loaded container 0f1566cd960684efdef27657405375c63b00e1c563bc7429aa6f4f991eb55190"
time="2017-09-29T07:38:31.015315581Z" level=debug msg="Loaded container 102ca99da95c0066184b0f733c14e042d0ef6c23ee16e812531f25c42b3a71ae"
time="2017-09-29T07:38:31.015552887Z" level=debug msg="Loaded container 102d7a275948c137891febc116f4d9bbb12421faab57607844f602bc650a05ba"
time="2017-09-29T07:38:31.015834083Z" level=debug msg="Loaded container 1091b45a1a0047b5d2ef8a5ed0867fcc6f11cea3213562e6da96484bf09b992e"
time="2017-09-29T07:38:31.016123564Z" level=debug msg="Loaded container 117ae9f04813c4d2d0b5f5a1ac752a20bf7be1181312ef536705416a7967695a"
time="2017-09-29T07:38:31.016355248Z" level=debug msg="Loaded container 13f9af7401eab88f5b539c27bd147e3fa3fb3b1a0f19f1d0b0563d825ed3ed50"
time="2017-09-29T07:38:31.016595217Z" level=debug msg="Loaded container 14667dfad4f93dd619bb05e35f6ce4e51aaafa2b67592e41cdfcfd55287c55b2"
time="2017-09-29T07:38:31.016919219Z" level=debug msg="Loaded container 170b7df76c793fc35b7ef98a62f718470474f98ed15ffcb8d5a31a8596fbda38"
time="2017-09-29T07:38:31.017220043Z" level=debug msg="Loaded container 172eca26e7136dc4ebbb14724171561f515c3172e442cefb7d373228c50ef3fd"
time="2017-09-29T07:38:31.017511102Z" level=debug msg="Loaded container 17d48787501ec41190558d6885e3abba51720580ced84c9b20b4b14a2cbecd07"
time="2017-09-29T07:38:31.017782337Z" level=debug msg="Loaded container 18097af3306f8dcf6c965dfed42f2cd3e98161c0308bc885f072c7de3fae37d5"
